joke_id,cluster_id
1,1
2,0
3,0
4,0
5,1
6,2
7,0
8,1
9,3
10,0
11,1
12,0
13,3
14,0
15,0
16,2
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,0
34,0
35,1
36,1
37,1
38,1
39,3
40,3
41,1
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,3
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,2
74,0
75,1
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,2
85,0
86,1
87,1
88,0
89,3
90,0
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,3
115,1
116,1
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,1
128,0
129,1
130,0
131,0
132,1
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,0
